query_processed,article_title,paragraph,serp_position,title_common_tokens,num_title_common_tokens,tokens_to_find,paragraph_common_tokens,num_paragraph_common_tokens,paragraph_number_in_article,query_id,data_source,label
cranberries urinary tract infections,Urinary tract infection,"Some research suggests that cranberry (juice or capsules) may decrease the number of UTIs in those with frequent infections. A Cochrane review concluded that the benefit, if it exists, is small; so did a randomized controlled trial in 2016. Long-term tolerance is also an issue with gastrointestinal upset occurring in more than 30%. Cranberry juice is thus not currently recommended for this indication. As of 2015, probiotics require further study to determine if they are beneficial. The role of the urinary microbiome in maintaining urinary tract health is not well understood as of 2015. There is some evidence that mannose can be an effective treatment and prophylaxis of recurrent UTIs in adult women.",1.0,"['infection', 'urinary', 'tract']",3.0,['cranberry'],['cranberry'],1.0,77.0,1,2019,0.0
cranberries urinary tract infections,Urinary tract infection,"The mainstay of treatment is antibiotics. Phenazopyridine is occasionally prescribed during the first few days in addition to antibiotics to help with the burning and urgency sometimes felt during a bladder infection. However, it is not routinely recommended due to safety concerns with its use, specifically an elevated risk of methemoglobinemia (higher than normal level of methemoglobin in the blood). Paracetamol may be used for fevers. There is no good evidence for the use of cranberry products for treating current infections.Fosfomycin can be used as an efficacious treatment for both UTIs and complicated UTIs including acute pyelonephritis. The standard regimen for complicated UTIs is an oral 3g dose administered once every 48 or 72 hours for a total of 3 doses or a 6 grams every 8 hours for 7 days to 14 days when fosfomycin is given in IV form.",1.0,"['infection', 'urinary', 'tract']",3.0,['cranberry'],['cranberry'],1.0,81.0,1,2019,0.0
cranberries urinary tract infections,Cranberry,"A comprehensive review in 2012 of available research concluded there is no evidence that cranberry juice or cranberry extract as tablets or capsules are effective in preventing urinary tract infections (UTIs). The European Food Safety Authority reviewed the evidence for one brand of cranberry extract and concluded a cause and effect relationship had not been established between cranberry consumption and reduced risk of UTIs.One 2017 systematic review showed that consuming cranberry products reduced the incidence of UTIs in women with recurrent infections. Another review of small clinical studies indicated that consuming cranberry products could reduce the risk of UTIs by 26% in otherwise healthy women, although the authors indicated that larger studies were needed to confirm such an effect.A 2021 systematic review found that there was insufficient evidence for or against using cranberry products to treat an acute UTI.When the quality of meta-analyses on the efficacy of consuming cranberry products for preventing or treating UTIs is examined, large variation and uncertainty of effect are seen, resulting from inconsistencies of clinical research design and inadequate numbers of subjects.",2.0,['cranberry'],1.0,"['infection', 'urinary', 'tract']","['infection', 'urinary', 'tract']",3.0,82.0,1,2019,0.0
cranberries urinary tract infections,Cranberry juice,"Cranberry juice is the liquid juice of the cranberry, typically manufactured to contain sugar, water, and other fruit juices. Cranberry – a fruit native to North America – is recognized for its bright red color, tart taste, and versatility for product manufacturing. Major cranberry products include cranberry juice, dried cranberry, cranberry sauce, frozen cranberry, cranberry powder, and dietary supplements containing cranberry extracts.The term ""cranberry juice cocktail"" or ""cranberry juice blend"" refers to products that contain about 28% cranberry juice, with the remainder either from other fruit juice concentrates (typically grape, apple or pear), water, and added sugar to improve palatability. Low-calorie cranberry juice products use non-caloric sweeteners. The tartness of cranberry juice derives from its mixed content of polyphenols, including flavonoids, proanthocyanidins, anthocyanins, phenolic acids, and ellagitannins.Despite a long-held reputation for providing antibacterial activity against urinary tract infections (UTIs), cranberry juice has no such proven effects, as determined by a Cochrane review of completed clinical research and a scientific panel for the European Food Safety Authority which concluded a cause-and-effect relationship could not be established between cranberry consumption and risk of UTIs.",3.0,['cranberry'],1.0,"['infection', 'urinary', 'tract']","['infection', 'urinary', 'tract']",3.0,0.0,1,2019,0.0
cranberries urinary tract infections,Cranberry juice,"In 2008, there was tentative evidence that long-term use of cranberry juice might help prevent symptomatic urinary tract infections (UTIs), but this finding was refuted in 2012 with a conclusion that ""14 further studies suggest that cranberry juice is less effective than previously indicated,"" and ""cranberry juice cannot currently be recommended for the prevention of UTIs."" The European Food Safety Authority reviewed the evidence and concluded a cause and effect relationship has not been established between the consumption of cranberry products and reducing the risk of UTIs.One systematic review in 2017 showed that cranberry products significantly reduced the incidence of UTIs, indicating that cranberry products may be effective particularly for individuals with recurrent infections. When the quality of meta-analyses on the efficacy of cranberry products for preventing or treating UTIs was examined, large variation was evident, resulting from inconsistencies in clinical research methods.In September 2017, Ocean Spray, a major cranberry juice manufacturer, submitted a health claim petition to the FDA. According to the FDA's February 2018 response letter, the company had ""requested that FDA authorize a health claim for the relationship between the consumption of cranberry juice products and a reduced risk of recurrent urinary tract infection in healthy women."" The FDA stated that they would consider the petition for a ""qualified health claim."" This type of health claim label does not require ""significant scientific agreement"" as the FDA's label with a higher standard, the ""authorized health claim,"" does. Rather, ""qualified health claims"" only require that the claim be ""supported by some scientific evidence."" These types of health claims also do not need to ""meet the significant scientific agreement standard"" and must be accompanied by a disclaimer stating that there is insufficient evidence of the product affecting a disease, such as UTI. Further FDA guidance in 2019 notified cranberry juice manufacturers that added sugars necessary for making the juice appealing to consumers had to be declared on the nutrition facts panel of product labels, and the amount of sugar used would be reviewed by the FDA under its ""enforcement discretion"".In October 2018, the National Institute for Health and Care Excellence's recommendation for self-care for lower UTIs in people aged 16 and over states that ""no evidence was found on cranberry products or urine alkalinising agents to treat lower UTI"".",3.0,['cranberry'],1.0,"['infection', 'urinary', 'tract']","['infection', 'urinary', 'tract']",3.0,13.0,1,2019,0.0
acupuncture epilepsy,Epilepsy,"Alternative medicine, including acupuncture, routine vitamins, and yoga, have no reliable evidence to support their use in epilepsy. Melatonin, as of 2016, is insufficiently supported by evidence. The trials were of poor methodological quality and it was not possible to draw any definitive conclusions.Several supplements (with varied reliabilities of evidence) have been reported to be helpful for drug-resistant epilepsy. These include high-dose Omega-3, berberine, Manuka honey, Reishi and Lion's Mane mushrooms, curcumin, vitamin E, coenzyme Q-10, and resveratrol. The reason these can work(in theory) is that they reduce inflammation or oxidative stress, two of the major mechanism contributing to epilepsy.",2.0,['epilepsy'],1.0,['acupuncture'],['acupuncture'],1.0,134.0,3,2019,0.0
acupuncture epilepsy,Frontal lobe epilepsy,Acupuncture,3.0,['epilepsy'],1.0,['acupuncture'],['acupuncture'],1.0,144.0,3,2019,0.0
acupuncture migraine,Acupuncture,"Two separate 2016 Cochrane reviews found that acupuncture could be useful in the prevention of tension-type headaches and episodic migraines. The 2016 Cochrane review evaluating acupuncture for episodic migraine prevention concluded that true acupuncture had a small effect beyond sham acupuncture and found moderate-quality evidence to suggest that acupuncture is at least similarly effective to prophylactic medications for this purpose. A 2012 review found that acupuncture has demonstrated benefit for the treatment of headaches, but that safety needed to be more fully documented in order to make any strong recommendations in support of its use.",1.0,['acupuncture'],1.0,['migraine'],['migraine'],1.0,69.0,5,2019,1.0
acupuncture migraine,Acupuncture,"Acupuncture is most heavily practiced in China and is popular in the US, Australia, and Europe. In Switzerland, acupuncture has become the most frequently used alternative medicine since 2004. In the United Kingdom, a total of 4 million acupuncture treatments were administered in 2009. Acupuncture is used in most pain clinics and hospices in the UK. An estimated 1 in 10 adults in Australia used acupuncture in 2004. In Japan, it is estimated that 25 percent of the population will try acupuncture at some point, though in most cases it is not covered by public health insurance. Users of acupuncture in Japan are more likely to be elderly and to have a limited education. Approximately half of users surveyed indicated a likelihood to seek such remedies in the future, while 37% did not. Less than one percent of the US population reported having used acupuncture in the early 1990s. By the early 2010s, more than 14 million Americans reported having used acupuncture as part of their health care.In the US, acupuncture is increasingly (as of 2014) used at academic medical centers, and is usually offered through CAM centers or anesthesia and pain management services. Examples include those at Harvard University, Stanford University, Johns Hopkins University, and UCLA.The use of acupuncture in Germany increased by 20% in 2007, after the German acupuncture trials supported its efficacy for certain uses. In 2011, there were more than one million users, and insurance companies have estimated that two-thirds of German users are women. As a result of the trials, German public health insurers began to cover acupuncture for chronic low back pain and osteoarthritis of the knee, but not tension headache or migraine. This decision was based in part on socio-political reasons. Some insurers in Germany chose to stop reimbursement of acupuncture because of the trials. For other conditions, insurers in Germany were not convinced that acupuncture had adequate benefits over usual care or sham treatments. Highlighting the results of the placebo group, researchers refused to accept a placebo therapy as efficient.",1.0,['acupuncture'],1.0,['migraine'],['migraine'],1.0,191.0,5,2019,1.0
acupuncture migraine,Migraine,"Acupuncture has a small effect in reducing migraine frequency, compared to sham acupuncture, a practice where needles are placed randomly or do not penetrate the skin. Physiotherapy, massage and relaxation, and chiropractic manipulation might be as effective as propranolol or topiramate in the prevention of migraine headaches; however, the research had some problems with methodology. Another review, however, found evidence to support spinal manipulation to be poor and insufficient to support its use.Tentative evidence supports the use of stress reduction techniques such as cognitive behavioral therapy, biofeedback, and relaxation techniques. Regular physical exercise may decrease the frequency. Numerous psychological approaches have been developed that are aimed at preventing or reducing the frequency of migraine in adults including educational approaches, relaxation techniques, assistance in developing coping strategies, strategies to change the way one thinks of a migraine attack, and strategies to reduce symptoms. The medical evidence supporting the effectiveness of these types of psychological approaches is very limited.Among alternative medicines, butterbur has the best evidence for its use. However, unprocessed butterbur contains chemicals called pyrrolizidine alkaloids (PAs) which can cause liver damage, however there are versions that are PA free. In addition, butterbur may cause allergic reactions in people who are sensitive to plants such as ragweed. There is tentative evidence that coenzyme Q10 reduces migraine frequency.Feverfew has traditionally been used as a treatment for fever, headache and migraine, women's conditions such as difficulties in labour and regulation of menstruation, relief of stomach ache, toothache and insect bites. During the last decades, it has mainly been used for headache and as a preventive treatment for migraine. The plant parts used for medicinal use are the dried leaves or the dried aerial parts. Several historical data supports feverfew's traditional medicinal uses. In addition, several clinical studies have been performed assessing the efficacy and safety of feverfew monotherapy in the prevention of migraine. The majority of the clinical trials favoured feverfew over placebo. The data also suggest that feverfew is associated with only mild and transient adverse effects. The frequency of migraine was positively affected after treatment with feverfew. Reduction of migraine severity was also reported after intake of feverfew and incidence of nausea and vomiting decreased significantly. No effect of feverfew was reported in one study.There is tentative evidence for melatonin as an add-on therapy for prevention and treatment of migraine. The data on melatonin are mixed and certain studies have had negative results. The reasons for the mixed findings are unclear but may stem from differences in study design and dosage. Melatonin's possible mechanisms of action in migraine are not completely clear, but may include improved sleep, direct action on melatonin receptors in the brain, and anti-inflammatory properties.",3.0,['migraine'],1.0,['acupuncture'],['acupuncture'],1.0,118.0,5,2019,1.0
